consent_id,patient_id,nhs_number,consent_type,consent_given,recorded_date,recorded_by,consent_expiry_date,created_at,updated_at
a03dfe0f-73ef-4210-b960-7ab50ae7e206,748ba421-9a3c-4e7c-ac6c-77b0fe124cc4,798-994-3816,Share Data with Other NHS Trusts,False,2024-06-29,Dr Lee Brown,2026-06-29,2024-06-29 00:00:00,2024-06-29 00:00:00
33678b72-8ddc-4960-8510-3725363e635d,748ba421-9a3c-4e7c-ac6c-77b0fe124cc4,798-994-3816,Research Use of Anonymized Data,False,2025-03-25,Susan Edwards-Robertson,2027-03-25,2025-03-25 00:00:00,2025-03-25 00:00:00
fd702003-7669-4cac-8cae-c81aae38aac3,748ba421-9a3c-4e7c-ac6c-77b0fe124cc4,798-994-3816,Contact for Clinical Trials,False,2024-08-07,Toby Hall,2026-08-07,2024-08-07 00:00:00,2024-08-07 00:00:00
cbec036a-6476-448f-92ee-96f6e40da584,748ba421-9a3c-4e7c-ac6c-77b0fe124cc4,798-994-3816,Receive Health Newsletters,False,2024-10-12,Hugh Black-George,2026-10-12,2024-10-12 00:00:00,2024-10-12 00:00:00
2cf2e18f-e1d0-45e2-b6c3-11726d5e01b5,95e2bebb-7a7e-487c-9010-782f8e9c414c,907-826-8139,Data Processing for Medical Care,False,2024-07-11,Mr Keith Wallis,2026-07-11,2024-07-11 00:00:00,2024-07-11 00:00:00
46b05d5c-e6c1-4afa-a043-7080e0659cc6,95e2bebb-7a7e-487c-9010-782f8e9c414c,907-826-8139,Share Data with Other NHS Trusts,True,2024-11-05,Mr Ricky Wilkinson,2026-11-05,2024-11-05 00:00:00,2024-11-05 00:00:00
87ca911f-c1dc-4db1-911a-cfaeb2f43bcf,95e2bebb-7a7e-487c-9010-782f8e9c414c,907-826-8139,Research Use of Anonymized Data,True,2025-01-27,Marion Bradley-Cook,2027-01-27,2025-01-27 00:00:00,2025-01-27 00:00:00
8d2fd023-7861-4143-9f9e-473046747f91,95e2bebb-7a7e-487c-9010-782f8e9c414c,907-826-8139,Contact for Clinical Trials,False,2024-11-16,Luke Price,2026-11-16,2024-11-16 00:00:00,2024-11-16 00:00:00
dd0c6d02-a076-494d-a4e0-3c874eff1486,95e2bebb-7a7e-487c-9010-782f8e9c414c,907-826-8139,Receive Health Newsletters,False,2024-12-09,Naomi Gallagher,2026-12-09,2024-12-09 00:00:00,2024-12-09 00:00:00
c69bcdf4-fb2f-427a-b1c8-ecf66f2a46fd,a63e6b11-b516-4f6c-b0a8-b954497ce8c3,621-532-2805,Data Processing for Medical Care,True,2024-11-28,Lauren Williams,2026-11-28,2024-11-28 00:00:00,2024-11-28 00:00:00
862205d7-fe16-427b-b929-6fab51a25e5b,a63e6b11-b516-4f6c-b0a8-b954497ce8c3,621-532-2805,Share Data with Other NHS Trusts,False,2024-12-01,Graham Dixon,2026-12-01,2024-12-01 00:00:00,2024-12-01 00:00:00
c1bc4078-8214-4435-b7e5-35667f55244b,a63e6b11-b516-4f6c-b0a8-b954497ce8c3,621-532-2805,Research Use of Anonymized Data,False,2025-04-16,Eric Young,2027-04-16,2025-04-16 00:00:00,2025-04-16 00:00:00
767e2c98-cbfa-456f-b537-79049608237c,a63e6b11-b516-4f6c-b0a8-b954497ce8c3,621-532-2805,Contact for Clinical Trials,True,2024-08-02,Ross Griffiths,2026-08-02,2024-08-02 00:00:00,2024-08-02 00:00:00
9771ed16-d369-489b-87b6-517e7fe6f9ab,a63e6b11-b516-4f6c-b0a8-b954497ce8c3,621-532-2805,Receive Health Newsletters,True,2024-07-14,Georgia Wilson-Cook,2026-07-14,2024-07-14 00:00:00,2024-07-14 00:00:00
2ea638d8-2632-4a63-ab65-162fd11b2070,75a3960e-95a2-4287-9d9b-e5448a3f150a,414-624-1120,Data Processing for Medical Care,True,2024-05-18,Ms Kimberley Sanderson,2026-05-18,2024-05-18 00:00:00,2024-05-18 00:00:00
9e3fb421-3d62-4c57-a686-94135f6c45b0,75a3960e-95a2-4287-9d9b-e5448a3f150a,414-624-1120,Share Data with Other NHS Trusts,True,2024-05-05,Ms Harriet Bradley,2026-05-05,2024-05-05 00:00:00,2024-05-05 00:00:00
55aff633-af88-4166-8b5e-822c442f79d7,75a3960e-95a2-4287-9d9b-e5448a3f150a,414-624-1120,Research Use of Anonymized Data,True,2024-05-12,Ms Andrea Johnson,2026-05-12,2024-05-12 00:00:00,2024-05-12 00:00:00
1c46d348-3ca1-45c9-98d7-c7eea68c425d,75a3960e-95a2-4287-9d9b-e5448a3f150a,414-624-1120,Contact for Clinical Trials,True,2024-05-07,Irene Houghton,2026-05-07,2024-05-07 00:00:00,2024-05-07 00:00:00
c1704526-1756-4692-a20d-37eb7e2b0c57,75a3960e-95a2-4287-9d9b-e5448a3f150a,414-624-1120,Receive Health Newsletters,False,2024-10-13,Steven Fisher,2026-10-13,2024-10-13 00:00:00,2024-10-13 00:00:00
0dabae23-8385-4ff8-bde4-afc41bd5a59e,97e7c0d6-1b61-40a5-a925-ef267ec011c3,409-421-5285,Data Processing for Medical Care,False,2024-11-23,Brandon Allen,2026-11-23,2024-11-23 00:00:00,2024-11-23 00:00:00
8cf9d806-fef8-455b-bda7-a73ded063d7a,97e7c0d6-1b61-40a5-a925-ef267ec011c3,409-421-5285,Share Data with Other NHS Trusts,False,2024-05-21,Tom Bowen-Nash,2026-05-21,2024-05-21 00:00:00,2024-05-21 00:00:00
5df2a0fa-370f-4a8b-b0ba-06ba53a77f2a,97e7c0d6-1b61-40a5-a925-ef267ec011c3,409-421-5285,Research Use of Anonymized Data,True,2024-06-15,Dennis Cross,2026-06-15,2024-06-15 00:00:00,2024-06-15 00:00:00
2a25cf68-b658-490a-b431-ad87d11f3360,97e7c0d6-1b61-40a5-a925-ef267ec011c3,409-421-5285,Contact for Clinical Trials,True,2024-12-07,Lynn Rice-Patel,2026-12-07,2024-12-07 00:00:00,2024-12-07 00:00:00
9318d905-b32a-412c-ad0a-58a335a1851a,97e7c0d6-1b61-40a5-a925-ef267ec011c3,409-421-5285,Receive Health Newsletters,True,2024-05-17,Samuel Bond,2026-05-17,2024-05-17 00:00:00,2024-05-17 00:00:00
55784798-2600-43fc-b761-ce418f1801ed,b8252e98-c9ea-43b5-89b5-a1204dcc1cb9,952-371-6194,Data Processing for Medical Care,True,2025-01-14,Dawn Thompson-Godfrey,2027-01-14,2025-01-14 00:00:00,2025-01-14 00:00:00
231333eb-2fc7-440d-bf25-61f1db37198c,b8252e98-c9ea-43b5-89b5-a1204dcc1cb9,952-371-6194,Share Data with Other NHS Trusts,False,2024-06-20,Mr Conor Carpenter,2026-06-20,2024-06-20 00:00:00,2024-06-20 00:00:00
ae580c25-a880-4f83-b845-92661a294d9b,b8252e98-c9ea-43b5-89b5-a1204dcc1cb9,952-371-6194,Research Use of Anonymized Data,True,2024-09-02,Miss Jodie Sullivan,2026-09-02,2024-09-02 00:00:00,2024-09-02 00:00:00
a36853a7-d62d-435e-a9fa-7f8c5fcca8b8,b8252e98-c9ea-43b5-89b5-a1204dcc1cb9,952-371-6194,Contact for Clinical Trials,False,2025-02-02,Mrs Laura Bennett,2027-02-02,2025-02-02 00:00:00,2025-02-02 00:00:00
505e1ded-8563-4547-8f0b-9d4a047f5afb,b8252e98-c9ea-43b5-89b5-a1204dcc1cb9,952-371-6194,Receive Health Newsletters,False,2024-05-18,Mr Neil Webster,2026-05-18,2024-05-18 00:00:00,2024-05-18 00:00:00
b05d51bd-24a7-46f3-be8b-03b702f8ba96,70839217-205f-47b5-8b05-0de7cc30fae0,905-267-5000,Data Processing for Medical Care,False,2025-04-14,Ms Frances Conway,2027-04-14,2025-04-14 00:00:00,2025-04-14 00:00:00
47b873cc-5497-4c98-ba10-05dc78a7c1bf,70839217-205f-47b5-8b05-0de7cc30fae0,905-267-5000,Share Data with Other NHS Trusts,True,2024-08-29,Ms Andrea Allen,2026-08-29,2024-08-29 00:00:00,2024-08-29 00:00:00
5d9c2086-c259-46e3-bf7f-c5460a46dfaf,70839217-205f-47b5-8b05-0de7cc30fae0,905-267-5000,Research Use of Anonymized Data,False,2024-07-19,Mrs Kathleen Patel,2026-07-19,2024-07-19 00:00:00,2024-07-19 00:00:00
c9c7410d-4a5a-47c6-91aa-140572aff65f,70839217-205f-47b5-8b05-0de7cc30fae0,905-267-5000,Contact for Clinical Trials,False,2025-04-04,Mohamed Jones,2027-04-04,2025-04-04 00:00:00,2025-04-04 00:00:00
804d0d28-2bf9-472e-b6ef-be0a0ae7505c,70839217-205f-47b5-8b05-0de7cc30fae0,905-267-5000,Receive Health Newsletters,True,2024-11-04,Frank Murray,2026-11-04,2024-11-04 00:00:00,2024-11-04 00:00:00
45878d35-0864-47a0-b265-b0e30bde89af,f7215183-e5e4-4f7a-9cc0-2d92f586eca4,504-690-6546,Data Processing for Medical Care,False,2024-10-07,Ricky Kaur,2026-10-07,2024-10-07 00:00:00,2024-10-07 00:00:00
7e21d7ad-891d-42c7-bc9a-7ec654ab02f3,f7215183-e5e4-4f7a-9cc0-2d92f586eca4,504-690-6546,Share Data with Other NHS Trusts,False,2025-03-03,Jordan Smith,2027-03-03,2025-03-03 00:00:00,2025-03-03 00:00:00
86608614-232a-4564-8d86-38a73355737c,f7215183-e5e4-4f7a-9cc0-2d92f586eca4,504-690-6546,Research Use of Anonymized Data,True,2024-07-31,Mr Joel Dean,2026-07-31,2024-07-31 00:00:00,2024-07-31 00:00:00
7df25f1e-a095-4002-a32c-7c0c6a26d1dc,f7215183-e5e4-4f7a-9cc0-2d92f586eca4,504-690-6546,Contact for Clinical Trials,True,2025-01-09,Kimberley Cox-Woods,2027-01-09,2025-01-09 00:00:00,2025-01-09 00:00:00
5a63c0dc-86e5-48c5-989b-6f227d14a3e7,f7215183-e5e4-4f7a-9cc0-2d92f586eca4,504-690-6546,Receive Health Newsletters,True,2024-06-02,Mr Brian Pope,2026-06-02,2024-06-02 00:00:00,2024-06-02 00:00:00
08212e47-3426-4a45-a2e6-1c1872b5965b,60e9a05f-9d30-47a0-9bed-176bf9265115,494-598-9546,Data Processing for Medical Care,True,2024-10-31,Mrs Hannah Smith,2026-10-31,2024-10-31 00:00:00,2024-10-31 00:00:00
b95ee999-df87-4979-a276-033e1f708426,60e9a05f-9d30-47a0-9bed-176bf9265115,494-598-9546,Share Data with Other NHS Trusts,True,2024-05-22,Emily Williams,2026-05-22,2024-05-22 00:00:00,2024-05-22 00:00:00
8a55020a-72c6-4581-8be6-dc0470f304ba,60e9a05f-9d30-47a0-9bed-176bf9265115,494-598-9546,Research Use of Anonymized Data,False,2024-08-03,Glenn Little,2026-08-03,2024-08-03 00:00:00,2024-08-03 00:00:00
15cba1e4-c423-4de7-94bc-ff80c8522507,60e9a05f-9d30-47a0-9bed-176bf9265115,494-598-9546,Contact for Clinical Trials,False,2024-12-27,Mr Jacob Webb,2026-12-27,2024-12-27 00:00:00,2024-12-27 00:00:00
61c78bf4-88be-468c-908e-2b133435ed3d,60e9a05f-9d30-47a0-9bed-176bf9265115,494-598-9546,Receive Health Newsletters,False,2024-09-27,Ms Mandy Black,2026-09-27,2024-09-27 00:00:00,2024-09-27 00:00:00
559fb86d-6d71-4930-ae91-6084a88dd3d0,8d420b24-b9f9-4cf8-ad3f-5a60368bcf57,682-761-8128,Data Processing for Medical Care,True,2024-08-26,Dr Glenn Barrett,2026-08-26,2024-08-26 00:00:00,2024-08-26 00:00:00
13dc3540-e505-487b-9b8d-c96b284315b2,8d420b24-b9f9-4cf8-ad3f-5a60368bcf57,682-761-8128,Share Data with Other NHS Trusts,False,2024-10-17,Christian Hammond,2026-10-17,2024-10-17 00:00:00,2024-10-17 00:00:00
198b1328-ca88-458f-9244-81434267466d,8d420b24-b9f9-4cf8-ad3f-5a60368bcf57,682-761-8128,Research Use of Anonymized Data,True,2024-05-22,Tina Dixon,2026-05-22,2024-05-22 00:00:00,2024-05-22 00:00:00
0fed412e-3bce-42c4-9206-af92586179c4,8d420b24-b9f9-4cf8-ad3f-5a60368bcf57,682-761-8128,Contact for Clinical Trials,False,2025-01-23,Jane Allen,2027-01-23,2025-01-23 00:00:00,2025-01-23 00:00:00
4917dec7-c936-4637-8695-cc16a6c9851a,8d420b24-b9f9-4cf8-ad3f-5a60368bcf57,682-761-8128,Receive Health Newsletters,True,2024-12-06,Dr Shaun Lamb,2026-12-06,2024-12-06 00:00:00,2024-12-06 00:00:00
710fa06d-87f0-48c8-b54c-0cc374a375e1,b59f7988-bf09-4a7e-aef3-4e5db917d0bd,876-700-8861,Data Processing for Medical Care,True,2024-09-08,Mohammad Poole,2026-09-08,2024-09-08 00:00:00,2024-09-08 00:00:00
8e3525ea-385b-4bce-a60e-5def8eaa065b,b59f7988-bf09-4a7e-aef3-4e5db917d0bd,876-700-8861,Share Data with Other NHS Trusts,False,2024-08-01,Dr Samuel Lloyd,2026-08-01,2024-08-01 00:00:00,2024-08-01 00:00:00
24297937-bda6-435b-9920-140db94b23b4,b59f7988-bf09-4a7e-aef3-4e5db917d0bd,876-700-8861,Research Use of Anonymized Data,False,2024-12-24,Neil Fowler-Cunningham,2026-12-24,2024-12-24 00:00:00,2024-12-24 00:00:00
57fd8b2f-069d-4999-ac99-dfe424f9d7fc,b59f7988-bf09-4a7e-aef3-4e5db917d0bd,876-700-8861,Contact for Clinical Trials,False,2024-10-17,Vanessa Brown,2026-10-17,2024-10-17 00:00:00,2024-10-17 00:00:00
47ba390f-699d-4731-96c7-4ae10b2cc69b,b59f7988-bf09-4a7e-aef3-4e5db917d0bd,876-700-8861,Receive Health Newsletters,True,2024-09-14,Megan Smart,2026-09-14,2024-09-14 00:00:00,2024-09-14 00:00:00
636ea779-a7de-4624-8e08-d08982bcc749,ce3a0781-3eb2-47eb-b929-f45341185edf,607-207-6478,Data Processing for Medical Care,False,2024-07-26,Jane Bennett-Haynes,2026-07-26,2024-07-26 00:00:00,2024-07-26 00:00:00
b1501454-2407-4e50-a3e9-20148b80e048,ce3a0781-3eb2-47eb-b929-f45341185edf,607-207-6478,Share Data with Other NHS Trusts,True,2024-07-07,Louis Hall-Powell,2026-07-07,2024-07-07 00:00:00,2024-07-07 00:00:00
7268de59-9b44-415e-9325-4cfd0aea3fd7,ce3a0781-3eb2-47eb-b929-f45341185edf,607-207-6478,Research Use of Anonymized Data,True,2024-06-15,Frederick Murphy,2026-06-15,2024-06-15 00:00:00,2024-06-15 00:00:00
c0ee6644-7d93-4cdb-b4b6-ac0cfbfc3bc7,ce3a0781-3eb2-47eb-b929-f45341185edf,607-207-6478,Contact for Clinical Trials,False,2025-02-24,Beverley Thompson,2027-02-24,2025-02-24 00:00:00,2025-02-24 00:00:00
443ca1cc-84e7-4cfd-8715-15161bfcfd2e,ce3a0781-3eb2-47eb-b929-f45341185edf,607-207-6478,Receive Health Newsletters,True,2024-10-22,Dr William Gregory,2026-10-22,2024-10-22 00:00:00,2024-10-22 00:00:00
c1526c54-6d5e-4d66-becc-156959e00c4b,03384811-f9b0-438f-a953-ce1a17f8848d,679-390-8932,Data Processing for Medical Care,True,2024-06-09,Roger Nicholson,2026-06-09,2024-06-09 00:00:00,2024-06-09 00:00:00
29679381-13fc-4aad-8eed-62751f87d4d6,03384811-f9b0-438f-a953-ce1a17f8848d,679-390-8932,Share Data with Other NHS Trusts,False,2024-11-12,Emma Williamson,2026-11-12,2024-11-12 00:00:00,2024-11-12 00:00:00
5f6055fd-1919-49f2-b6b9-b0f91ab29829,03384811-f9b0-438f-a953-ce1a17f8848d,679-390-8932,Research Use of Anonymized Data,True,2024-06-17,Kieran Smith-Fisher,2026-06-17,2024-06-17 00:00:00,2024-06-17 00:00:00
93a6032c-75f3-460b-8dc6-2f4e73d34af1,03384811-f9b0-438f-a953-ce1a17f8848d,679-390-8932,Contact for Clinical Trials,False,2024-05-07,Ms Pauline Phillips,2026-05-07,2024-05-07 00:00:00,2024-05-07 00:00:00
1ed92813-81e1-4ee1-a3a3-279a17202232,03384811-f9b0-438f-a953-ce1a17f8848d,679-390-8932,Receive Health Newsletters,False,2024-05-14,Dr Mandy Phillips,2026-05-14,2024-05-14 00:00:00,2024-05-14 00:00:00
6c521d7c-89b7-4683-ad5c-49b5e656b68c,e904b45b-d601-4977-8d95-878026b1601d,539-908-3399,Data Processing for Medical Care,True,2024-12-02,Patricia Jones,2026-12-02,2024-12-02 00:00:00,2024-12-02 00:00:00
8ae0de82-6223-489f-9301-9ef9c69c604f,e904b45b-d601-4977-8d95-878026b1601d,539-908-3399,Share Data with Other NHS Trusts,False,2025-04-23,Dr Glenn George,2027-04-23,2025-04-23 00:00:00,2025-04-23 00:00:00
70c35381-7c05-4488-b3e2-9ccd00ccaaeb,e904b45b-d601-4977-8d95-878026b1601d,539-908-3399,Research Use of Anonymized Data,True,2024-06-15,Mr Gerald Akhtar,2026-06-15,2024-06-15 00:00:00,2024-06-15 00:00:00
83bc189c-61d6-4b77-a669-1888075c03c2,e904b45b-d601-4977-8d95-878026b1601d,539-908-3399,Contact for Clinical Trials,True,2024-07-30,David Ellis,2026-07-30,2024-07-30 00:00:00,2024-07-30 00:00:00
95cb786a-0d73-4c31-8ba7-615ef6a1571a,e904b45b-d601-4977-8d95-878026b1601d,539-908-3399,Receive Health Newsletters,True,2024-12-23,Dr Max Smith,2026-12-23,2024-12-23 00:00:00,2024-12-23 00:00:00
cbfa1c9f-7d7e-487a-843f-8694ed4337f5,c1a3f283-5074-4f00-ba82-0f161ddd02ae,923-425-3905,Data Processing for Medical Care,True,2025-01-28,Hugh Whittaker,2027-01-28,2025-01-28 00:00:00,2025-01-28 00:00:00
6b7526e8-490f-4a36-abcf-ab1e8b30f0e2,c1a3f283-5074-4f00-ba82-0f161ddd02ae,923-425-3905,Share Data with Other NHS Trusts,False,2024-08-18,Beth Roberts,2026-08-18,2024-08-18 00:00:00,2024-08-18 00:00:00
d676d9bf-a15e-45f7-b72b-57040cfd15d4,c1a3f283-5074-4f00-ba82-0f161ddd02ae,923-425-3905,Research Use of Anonymized Data,False,2024-09-09,Alexandra Lord,2026-09-09,2024-09-09 00:00:00,2024-09-09 00:00:00
ebe757e3-f1f4-4b99-b9bc-6753f242cfb6,c1a3f283-5074-4f00-ba82-0f161ddd02ae,923-425-3905,Contact for Clinical Trials,True,2024-12-08,Mr Mohamed Cunningham,2026-12-08,2024-12-08 00:00:00,2024-12-08 00:00:00
b68ef317-ad20-44cf-b5b3-425448732db5,c1a3f283-5074-4f00-ba82-0f161ddd02ae,923-425-3905,Receive Health Newsletters,True,2024-09-08,Dr Allan Harris,2026-09-08,2024-09-08 00:00:00,2024-09-08 00:00:00
473d94af-9092-481c-8cdf-a4babaa7678a,9703dd32-a950-48d9-8f82-5ac5a049437a,991-263-4191,Data Processing for Medical Care,True,2024-09-15,Scott Peacock-Butler,2026-09-15,2024-09-15 00:00:00,2024-09-15 00:00:00
4ea3edbc-6e7b-4b7e-8e4e-b778405874cf,9703dd32-a950-48d9-8f82-5ac5a049437a,991-263-4191,Share Data with Other NHS Trusts,True,2025-03-09,Kayleigh Mitchell-Watson,2027-03-09,2025-03-09 00:00:00,2025-03-09 00:00:00
c93d056d-f715-434e-aede-39aabcfd2837,9703dd32-a950-48d9-8f82-5ac5a049437a,991-263-4191,Research Use of Anonymized Data,True,2025-01-21,Terry Begum,2027-01-21,2025-01-21 00:00:00,2025-01-21 00:00:00
312b72eb-bbfa-41cc-b3ba-557dfbc259b5,9703dd32-a950-48d9-8f82-5ac5a049437a,991-263-4191,Contact for Clinical Trials,True,2024-06-05,Kate Burton,2026-06-05,2024-06-05 00:00:00,2024-06-05 00:00:00
f9ec5663-0ed3-4740-a8a7-d9890a737df0,9703dd32-a950-48d9-8f82-5ac5a049437a,991-263-4191,Receive Health Newsletters,True,2024-07-13,Dr Wayne Ward,2026-07-13,2024-07-13 00:00:00,2024-07-13 00:00:00
2600eb06-7c43-4d89-918f-4e5c47f6587d,d6fc145b-94db-4c09-9dbc-8980a62c26a1,843-905-8207,Data Processing for Medical Care,False,2024-09-01,Toby Clarke,2026-09-01,2024-09-01 00:00:00,2024-09-01 00:00:00
955c5e77-cea5-40cf-b323-17c15ac11fd2,d6fc145b-94db-4c09-9dbc-8980a62c26a1,843-905-8207,Share Data with Other NHS Trusts,True,2024-07-19,Leonard Ellis,2026-07-19,2024-07-19 00:00:00,2024-07-19 00:00:00
590548ed-4694-49e8-916e-d860bb739518,d6fc145b-94db-4c09-9dbc-8980a62c26a1,843-905-8207,Research Use of Anonymized Data,False,2024-06-01,Martyn Osborne,2026-06-01,2024-06-01 00:00:00,2024-06-01 00:00:00
15638baa-d875-493c-a70d-cfd17575f040,d6fc145b-94db-4c09-9dbc-8980a62c26a1,843-905-8207,Contact for Clinical Trials,False,2024-07-29,Dr Callum Talbot,2026-07-29,2024-07-29 00:00:00,2024-07-29 00:00:00
c8b88c80-a642-4b8d-9829-0c5e6f1fa4dd,d6fc145b-94db-4c09-9dbc-8980a62c26a1,843-905-8207,Receive Health Newsletters,False,2025-01-20,Henry Matthews,2027-01-20,2025-01-20 00:00:00,2025-01-20 00:00:00
e86986f8-c160-4fa0-a472-cdf7b1e6af5b,ecb7dfb6-8a00-49c6-b09c-b658c00a253b,835-801-2314,Data Processing for Medical Care,True,2024-08-12,Stephanie Walton-Harrison,2026-08-12,2024-08-12 00:00:00,2024-08-12 00:00:00
91eb9495-0d51-4d46-9725-7a6f298a2aca,ecb7dfb6-8a00-49c6-b09c-b658c00a253b,835-801-2314,Share Data with Other NHS Trusts,True,2024-11-22,Joe Clark,2026-11-22,2024-11-22 00:00:00,2024-11-22 00:00:00
48823dfc-266d-4e3b-b785-3d18fbf1f73b,ecb7dfb6-8a00-49c6-b09c-b658c00a253b,835-801-2314,Research Use of Anonymized Data,True,2025-03-26,Simon Wheeler-Jones,2027-03-26,2025-03-26 00:00:00,2025-03-26 00:00:00
d8b29574-5283-4ef5-842d-c955287567a3,ecb7dfb6-8a00-49c6-b09c-b658c00a253b,835-801-2314,Contact for Clinical Trials,False,2024-05-01,Dale Poole-Barnett,2026-05-01,2024-05-01 00:00:00,2024-05-01 00:00:00
fe4cd3d8-865f-4560-9de9-412095be77f2,ecb7dfb6-8a00-49c6-b09c-b658c00a253b,835-801-2314,Receive Health Newsletters,True,2024-10-28,Marcus Evans,2026-10-28,2024-10-28 00:00:00,2024-10-28 00:00:00
10d9a918-d033-4d49-b8c3-7f40e9da56e2,2a1c92e2-389e-4acd-bafc-2799fdb0f204,840-448-4596,Data Processing for Medical Care,True,2025-01-07,Dr Peter O'Connor,2027-01-07,2025-01-07 00:00:00,2025-01-07 00:00:00
c240c50c-8b3b-4327-bb2b-689bdf06a83f,2a1c92e2-389e-4acd-bafc-2799fdb0f204,840-448-4596,Share Data with Other NHS Trusts,False,2025-04-06,Scott Baker,2027-04-06,2025-04-06 00:00:00,2025-04-06 00:00:00
c10bef4b-b5f7-4e1a-9663-03c1f8390b9b,2a1c92e2-389e-4acd-bafc-2799fdb0f204,840-448-4596,Research Use of Anonymized Data,True,2024-05-03,Duncan Grant,2026-05-03,2024-05-03 00:00:00,2024-05-03 00:00:00
f9414d75-c18a-4731-87bc-b52f8e67fe83,2a1c92e2-389e-4acd-bafc-2799fdb0f204,840-448-4596,Contact for Clinical Trials,False,2025-03-01,Sally Murray,2027-03-01,2025-03-01 00:00:00,2025-03-01 00:00:00
a3d29ba2-5807-46d1-a727-c7ce89c1ebe6,2a1c92e2-389e-4acd-bafc-2799fdb0f204,840-448-4596,Receive Health Newsletters,False,2024-08-17,Antony Pearson-Gibbons,2026-08-17,2024-08-17 00:00:00,2024-08-17 00:00:00
f3aee079-d5fa-44c7-aeb8-67fecc32c36b,bac24752-5b8d-4b2c-b99e-fcb747c29f3c,939-597-9635,Data Processing for Medical Care,True,2024-09-14,Naomi Smith,2026-09-14,2024-09-14 00:00:00,2024-09-14 00:00:00
f560964b-9467-459a-9957-6fe61d1ba26a,bac24752-5b8d-4b2c-b99e-fcb747c29f3c,939-597-9635,Share Data with Other NHS Trusts,False,2024-04-30,Georgina Smith,2026-04-30,2024-04-30 00:00:00,2024-04-30 00:00:00
bdc60401-cd5d-496e-9219-03b3ae564111,bac24752-5b8d-4b2c-b99e-fcb747c29f3c,939-597-9635,Research Use of Anonymized Data,True,2025-02-10,Daniel Kennedy,2027-02-10,2025-02-10 00:00:00,2025-02-10 00:00:00
007078ad-39f7-458e-a87a-364d493f70ce,bac24752-5b8d-4b2c-b99e-fcb747c29f3c,939-597-9635,Contact for Clinical Trials,True,2024-05-03,Dr Shaun Bailey,2026-05-03,2024-05-03 00:00:00,2024-05-03 00:00:00
99074286-322a-4715-89c8-b9ff5ba66e19,bac24752-5b8d-4b2c-b99e-fcb747c29f3c,939-597-9635,Receive Health Newsletters,True,2024-09-20,Adrian Graham-Bibi,2026-09-20,2024-09-20 00:00:00,2024-09-20 00:00:00
